temperature_1,temperature_2,temperature_3,pressure_1,pressure_2,ultrasonic
76.41,73.66,77.01,4.56,4.51,14.17
76.89,72.51,77.61,4.29,4.38,19.03
72.52,76.77,77.13,4.51,4.64,14.64
74.82,72.59,73.61,4.65,4.55,19.7
79.9,70.04,72.38,4.62,4.32,18.37
71.03,72.26,77.88,4.32,4.52,19.53
71.53,77.21,77.67,4.54,4.73,15.74
77.31,77.94,70.49,4.58,4.5,18.57
72.2,75.48,73.24,4.74,4.62,19.42
73.79,76.98,72.14,4.67,4.63,17.03
73.76,76.96,79.05,4.7,4.6,18.24
73.61,73.32,79.16,4.55,4.41,17.47
76.4,74.33,73.58,4.7,4.49,16.34
78.61,72.89,73.31,4.32,4.74,16.62
76.79,74.17,71.83,4.32,4.26,17.68
76.61,73.0,70.28,4.53,4.42,16.34
70.27,79.28,73.33,4.46,4.5,18.95
70.0,77.54,79.93,4.47,4.71,18.05
70.76,73.85,76.5,4.68,4.31,19.33
77.95,72.65,76.63,4.59,4.65,19.14
77.63,76.63,77.91,4.51,4.4,15.96
75.04,71.28,77.45,4.42,4.7,18.05
79.33,74.49,73.47,4.3,4.55,14.71
72.02,79.18,71.72,4.29,4.59,15.77
77.84,70.36,79.54,4.39,4.36,18.42
76.93,75.36,73.35,4.48,4.33,18.67
97.63,91.67,98.8,7.5,7.69,28.86
74.86,71.51,78.14,4.47,4.58,16.45
70.57,74.68,73.33,4.75,4.33,15.01
74.64,75.08,70.36,4.61,4.32,17.15
75.88,70.16,76.33,4.29,4.74,14.11
79.22,77.02,71.85,4.26,4.59,14.51
71.87,73.34,70.4,4.63,4.59,15.77
90.46,97.96,97.08,7.5,7.49,32.35
99.33,91.86,90.28,7.66,7.56,29.02
74.63,79.84,76.87,4.42,4.64,17.15
74.54,78.86,73.46,4.32,4.4,15.43
76.5,72.09,76.78,4.3,4.49,17.34
77.56,73.58,74.34,4.73,4.46,17.8
78.58,73.12,72.39,4.29,4.59,18.33
74.11,79.94,77.92,4.62,4.28,17.97
